Date,Not indexed,Indexed,Impressions
2025-11-09,,,7
2025-11-10,12,200,7
2025-11-11,14,198,10
2025-11-12,14,198,5
2025-11-13,14,198,3
2025-11-14,14,198,20
2025-11-15,17,195,37
2025-11-16,17,195,22
2025-11-17,17,195,13
2025-11-18,18,194,18
2025-11-19,18,194,28
2025-11-20,18,194,24
2025-11-21,18,194,23
2025-11-22,32,181,19
2025-11-23,32,181,17
2025-11-24,32,181,29
2025-11-25,32,181,49
2025-11-26,32,181,47
2025-11-27,32,181,23
2025-11-28,32,181,6
2025-11-29,32,181,9
2025-11-30,32,181,16
2025-12-01,32,181,19
2025-12-02,32,181,28
2025-12-03,32,181,12
2025-12-04,32,181,31
2025-12-05,32,181,9
2025-12-06,32,181,8
2025-12-07,32,181,13
2025-12-08,32,181,6
2025-12-09,32,181,17
2025-12-10,32,181,16
2025-12-11,32,181,15
2025-12-12,32,181,19
2025-12-13,32,181,13
2025-12-14,32,181,10
2025-12-15,32,184,9
2025-12-16,32,184,13
2025-12-17,32,184,13
2025-12-18,32,184,64
2025-12-19,32,184,39
2025-12-20,32,184,41
2025-12-21,32,184,66
2025-12-22,32,184,57
2025-12-23,99,205,39
2025-12-24,99,205,55
2025-12-25,99,205,132
2025-12-26,99,205,145
2025-12-27,99,205,258
2025-12-28,99,205,360
2025-12-29,99,205,313
2025-12-30,99,205,225
2025-12-31,99,205,265
2026-01-01,99,205,269
2026-01-02,99,205,214
2026-01-03,99,205,241
2026-01-04,99,205,322
2026-01-05,99,205,269
2026-01-06,102,207,572
2026-01-07,102,207,636
2026-01-08,102,207,587
2026-01-09,102,207,458
2026-01-10,107,214,319
2026-01-11,107,214,289
2026-01-12,107,214,251
2026-01-13,102,237,316
2026-01-14,102,237,400
2026-01-15,102,237,573
2026-01-16,102,237,435
2026-01-17,102,239,596
2026-01-18,102,239,965
2026-01-19,102,239,709
2026-01-20,93,268,990
2026-01-21,93,268,1074
2026-01-22,93,268,727
2026-01-23,93,268,609
2026-01-24,300,271,834
2026-01-25,300,271,994
2026-01-26,300,271,736
2026-01-27,319,267,670
2026-01-28,319,267,707
2026-01-29,319,267,582
2026-01-30,319,267,507
2026-01-31,319,267,605
2026-02-01,319,267,847
2026-02-02,319,267,640
2026-02-03,321,264,731
2026-02-04,321,264,638
2026-02-05,321,264,417
2026-02-06,321,264,